1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 14
7 11 15
8 14 15
9 11 13
10 12 13

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 12 15
7 11 14
8 14 15
9 12 13
10 11 13

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 14 15
7 13 14
8 12 15
9 11 12
10 11 13

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 14 15
7 13 15
8 12 14
9 11 13
10 11 12

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 11 14
5 13 14
6 9 15
7 14 15
8 10 15
9 10 12
11 12 13

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 11 14
5 14 15
6 9 15
7 13 14
8 12 15
9 10 12
10 11 13

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 11 14
5 14 15
6 9 15
7 13 15
8 12 14
9 10 13
10 11 12

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 12 14
5 13 14
6 14 15
7 9 15
8 10 15
9 10 11
11 12 13

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 12 14
5 13 15
6 14 15
7 9 15
8 10 14
9 11 13
10 11 12

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 12 14
5 14 15
6 13 15
7 9 15
8 11 14
9 10 13
10 11 12

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 10 12
3 4 13
3 6 14
5 7 15
5 12 13
7 11 14
8 11 15
9 12 15
10 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 9
2 10 12
3 4 13
3 6 14
5 7 15
5 12 14
7 11 13
8 12 15
9 11 15
10 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 9 10
3 4 13
3 7 14
5 7 15
5 12 13
6 11 14
8 11 15
9 12 15
10 13 14

1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 10 11
2 4 12
2 9 10
